"c","zc","fc","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
-0.93238,0.0032379,-0.66917,7296,7296,1.5,0.86245,0
-0.9816,0.0033681,-0.70132,7297,7297,1.5125,0.84994,0
-0.90438,0.0031038,-0.64622,7298,7298,1.5125,0.86245,0
-0.96011,0.0031054,-0.67103,7299,7299,1.575,0.82489,0
-0.89703,0.002902,-0.62701,7300,7300,1.575,0.8374,0
-0.92756,0.0029697,-0.64581,7301,7301,1.5875,0.82489,0
-0.86662,0.0027752,-0.60345,7302,7302,1.5875,0.83739,0
-1.0268,0.0033963,-0.72364,7303,7303,1.55,0.82491,0
-0.95934,0.0031738,-0.67617,7304,7304,1.55,0.83742,0
-0.99346,0.0032509,-0.69733,7305,7305,1.5625,0.8249,0
-0.92818,0.0030379,-0.65159,7306,7306,1.5625,0.83741,0
-1.0805,0.0034928,-0.75494,7307,7307,1.575,0.79988,0
-1.0203,0.0032991,-0.71298,7308,7308,1.575,0.81239,0
-1.0438,0.0033401,-0.72656,7309,7309,1.5875,0.79987,0
-0.9857,0.0031549,-0.68619,7310,7310,1.5875,0.81238,0
-1.1556,0.00382,-0.81413,7311,7311,1.55,0.7999,0
-1.0912,0.0036081,-0.76888,7312,7312,1.55,0.8124,0
-1.118,0.0036564,-0.78453,7313,7313,1.5625,0.79989,0
-1.0557,0.0034536,-0.74093,7314,7314,1.5625,0.81239,0
-1.0952,0.0037083,-0.77855,7315,7315,1.525,0.82492,0
-1.0232,0.0034654,-0.72748,7316,7316,1.525,0.83743,0
-1.061,0.0035523,-0.75109,7317,7317,1.5375,0.82492,0
-0.99126,0.0033196,-0.70182,7318,7318,1.5375,0.83742,0
-1.1652,0.0040435,-0.83591,7319,7319,1.5,0.82494,0
-1.0886,0.0037786,-0.78107,7320,7320,1.5,0.83744,0
-1.1302,0.0038759,-0.80723,7321,7321,1.5125,0.82493,0
-1.0559,0.003622,-0.75428,7322,7322,1.5125,0.83744,0
-1.2325,0.004171,-0.87592,7323,7323,1.525,0.79991,0
-1.1638,0.0039396,-0.82724,7324,7324,1.525,0.81242,0
-1.1941,0.0039955,-0.84503,7325,7325,1.5375,0.7999,0
-1.1275,0.0037739,-0.79806,7326,7326,1.5375,0.81241,0
-1.3114,0.004548,-0.94047,7327,7327,1.5,0.79993,0
-1.2383,0.0042957,-0.88819,7328,7328,1.5,0.81244,0
-1.272,0.0043595,-0.9082,7329,7329,1.5125,0.79992,0
-1.2011,0.0041177,-0.85771,7330,7330,1.5125,0.81243,0
-0.90525,0.003226,-0.65599,7331,7331,1.475,0.87497,0
-0.81801,0.0029156,-0.59283,7332,7332,1.475,0.88747,0
-0.879,0.0030941,-0.63405,7333,7333,1.4875,0.87496,0
-0.79429,0.0027964,-0.573,7334,7334,1.4875,0.88747,0
-0.95904,0.00351,-0.70186,7335,7335,1.45,0.87498,0
-0.8666,0.0031722,-0.63428,7336,7336,1.45,0.88748,0
